2024/08/28 09:03:50 
===============================
______             _           
|  _  \           | |          
| | | |  ___  ___ | | __ _   _ 
| | | | / _ \/ __|| |/ /| | | |
| |/ / |  __/\__ \|   < | |_| |
|___/   \___||___/|_|\_\ \__, |
                          __/ |
                         |___/
===============================   
 - Desky succsessfully started on: 0.0.0.0:443
 - Proxmox module is up: true
===============================                   
2024/08/28 09:12:30 | 10.192.10.100:48456 > /static/css/proxmox.css.
2024/08/28 09:12:30 | 10.192.10.100:48456 > /static/css/index.css.
2024/08/28 09:12:30 | 10.192.10.100:48456 > /static/images/web-icons/shell.svg.
2024/08/28 09:12:30 | 10.192.10.100:48456 > /static/images/web-icons/docker.svg.
2024/08/28 09:12:30 | 10.192.10.100:48456 > /static/images/web-icons/proxmox.svg.
2024/08/28 09:12:30 | 10.192.10.100:48456 > /static/images/web-icons/lxc.svg.
2024/08/28 09:12:30 | 10.192.10.100:48456 > /static/images/web-icons/vm.svg.
2024/08/28 09:12:31 | 10.192.10.100:48456 > /static/images/image.jpg.
2024/08/28 09:12:31 | 10.192.10.100:48456 > /static/fonts/fontawesome-webfont.woff2?v=4.7.0.
2024/08/28 09:12:34 | 10.192.10.100:48456 > /dashboard/docker.
2024/08/28 09:12:35 | 10.192.10.100:48456 > /dashboard/proxmox.
2024/08/28 09:12:35 | 10.192.10.100:48456 > /static/css/proxmox.css.
2024/08/28 09:12:37 | 10.192.10.100:48456 > /dashboard/panel.
2024/08/28 09:12:37 | 10.192.10.100:48456 > /api/system.
2024/08/28 09:12:38 | 10.192.10.100:48456 > /dashboard/docker.
2024/08/28 09:12:40 | 10.192.10.100:48456 > /dashboard/proxmox.
2024/08/28 09:12:40 | 10.192.10.100:48456 > /static/css/proxmox.css.
2024/08/28 09:12:52 | 10.192.10.100:48456 > /dashboard/proxmox.
2024/08/28 09:12:52 | 10.192.10.100:48456 > /static/css/proxmox.css.
2024/08/28 09:12:52 | 10.192.10.100:48456 > /dashboard/proxmox.
2024/08/28 09:12:52 | 10.192.10.100:48456 > /static/css/proxmox.css.
2024/08/28 09:12:54 | 10.192.10.100:57866 > /dashboard/proxmox.
2024/08/28 09:12:54 | 10.192.10.100:57866 > /static/css/font-awesome.min.css.
2024/08/28 09:12:54 | 10.192.10.100:57866 > /static/css/proxmox.css.
2024/08/28 09:12:54 | 10.192.10.100:57866 > /static/css/index.css.
2024/08/28 09:12:54 | 10.192.10.100:57866 > /static/images/web-icons/shell.svg.
2024/08/28 09:12:54 | 10.192.10.100:57866 > /static/images/web-icons/docker.svg.
2024/08/28 09:12:54 | 10.192.10.100:57866 > /static/images/web-icons/proxmox.svg.
2024/08/28 09:12:54 | 10.192.10.100:57866 > /static/images/web-icons/lxc.svg.
2024/08/28 09:12:54 | 10.192.10.100:57866 > /static/images/web-icons/vm.svg.
2024/08/28 09:12:54 | 10.192.10.100:57866 > /static/images/image.jpg.
